district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.467486,90.796926,52.0,0.49,12.64,Sand bar alluvium,Char Land,237.8,422.8,611.8,0.81,312,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.677156,95.164856,102.7,0.84,10.62,Alluvial sandy silt,Paddy Cropland,205.7,364.9,539.7,0.55,361,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.636481,92.645324,114.6,5.43,5.93,Piedmont coarse alluvium,Tea Plantation,83.5,185.2,190.2,10.59,7379,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.161167,93.924298,90.6,0.48,13.45,Clayey loam,Alluvial Lowland,204.6,383.0,537.1,0.83,355,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.5055,94.980411,98.9,0.5,13.27,Alluvial sandy silt,Riparian Grassland,173.8,326.1,446.6,1.73,111,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.728709,92.843307,28.1,0.45,16.82,Heavy alluvial clay,Dense Settlement,228.8,403.3,715.8,0.28,223,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.843409,92.946421,26.6,0.14,15.73,Hydromorphic depression silt,Urban Built-up / Commercial,275.3,495.1,573.4,1.09,26,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.107085,92.941323,68.3,0.8,12.2,Alluvial clay loam,Lowland Marsh,162.4,343.5,494.5,0.95,396,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.794695,91.576286,159.7,8.76,7.48,Coarse boulder-sand,Foothill Plantation,88.4,186.7,229.4,6.44,5105,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.902423,94.261526,82.7,0.39,12.82,Active alluvial deposits,Char / River Island Sandbar,130.7,373.8,480.2,0.47,118,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.093348,92.827475,725.9,12.14,5.42,Red and yellow forest soil,Sub-Tropical Montane Forest,86.3,110.7,248.4,34.65,24272,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.096637,94.28799,78.3,0.28,15.45,Active alluvial deposits,Riparian Grassland,141.4,288.7,505.5,1.2,409,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.151365,91.705757,209.5,15.59,5.51,Red gravelly loam,Highland Residential Built-up,83.0,230.0,281.4,7.93,4940,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.168694,90.442314,38.8,0.48,16.19,Hydromorphic alluvial silt,Char Settlement,150.8,344.8,483.5,1.68,387,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.115392,90.561271,167.5,11.3,6.69,Gravelly red loam,Mixed Scrub and Rocky Outcrop,57.6,121.4,199.9,15.31,6384,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.793293,91.612615,104.2,4.46,6.19,Coarse boulder-sand,Deciduous Forest,111.7,158.1,345.9,11.64,6936,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.450815,93.012954,518.5,20.59,4.72,Gravelly skeletal clay,Hilly Terrain,111.5,176.5,219.2,9.55,14544,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.133212,90.59939,103.3,17.95,5.64,Gravelly red loam,Mixed Scrub and Rocky Outcrop,57.3,158.8,190.9,13.32,4275,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.896108,91.645575,137.3,3.44,6.74,Coarse boulder-sand,Tea Estate,127.8,194.2,261.1,13.3,8679,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.290148,95.64342,147.3,11.13,7.0,Sandy clay red loam,Evergreen Forest Scarp,117.8,181.6,262.1,19.27,18149,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.780477,92.719194,95.2,2.66,8.01,Piedmont coarse alluvium,Urban Cantonment,96.5,168.0,219.1,14.83,7061,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.489489,91.519739,52.6,0.78,10.89,Clayey loam,Paddy Cropland,193.3,399.0,551.0,0.42,274,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.267492,92.778902,56.1,0.89,9.83,Alluvial clay loam,Lowland Marsh,165.0,308.8,528.7,1.38,167,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.084136,90.698605,100.6,14.66,6.24,Laterite outcrop,High Settlement,93.4,195.7,206.3,15.27,9082,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.795203,92.57711,106.4,4.46,8.03,Sandy loam,High Alluvial Orchard,113.7,179.4,319.3,5.95,6172,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.449506,95.21711,88.8,0.33,11.66,Alluvial sandy silt,Riparian Grassland,150.1,377.0,505.9,0.64,469,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.38454,92.375694,61.2,0.7,13.21,Riverine silt,Wetland / Marshland,198.7,335.1,461.6,1.29,573,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.845377,92.914995,29.2,0.21,14.05,Hydromorphic depression silt,Paddy Cropland,210.3,538.4,547.6,0.17,298,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.446311,91.131869,46.4,0.27,13.85,Sand bar alluvium,Paddy Cropland,235.5,341.8,541.4,0.71,237,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.123003,90.633107,170.2,12.37,6.2,Gravelly red loam,High Settlement,102.2,128.6,181.1,15.35,4106,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.628785,92.461535,120.8,3.27,7.63,Piedmont coarse alluvium,Tea Plantation,114.2,143.1,252.1,11.82,6456,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.629671,93.540921,65.1,0.65,14.62,Alluvial silt loam,National Park Grassland,163.0,343.0,451.0,1.85,139,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.315627,92.994434,542.3,25.18,5.81,Red and yellow forest soil,Hilly Terrain,69.4,197.1,205.6,24.96,13005,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.091321,93.356943,234.8,19.95,4.76,Lateritic gravelly clay,Mixed Deciduous Forest,73.8,119.3,143.3,7.29,12188,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.735866,92.781943,116.8,2.95,7.75,Sandy loam,Tea Plantation,77.0,231.4,262.4,10.94,8227,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.780258,94.430177,110.8,1.89,5.58,Old alluvial terrace soil,Commercial Tea Plantation,56.9,131.7,209.3,9.25,14460,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.112943,92.95101,69.1,0.83,11.75,Silty alluvium,Lowland Marsh,173.5,347.0,433.7,0.79,763,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.453516,91.539159,49.0,0.9,12.7,Alluvial silt loam,Rural Settlement,188.4,419.4,495.0,1.53,265,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.839591,94.304547,132.4,1.88,8.03,Old alluvial terrace soil,Commercial Tea Plantation,97.2,168.0,214.8,14.26,16698,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.757029,92.592898,86.5,6.19,6.02,Piedmont coarse alluvium,Urban Cantonment,68.2,145.9,259.1,13.82,6799,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.624994,94.269682,118.7,4.88,7.7,Deep red acidic loam,Elevated Homestead,60.7,136.4,179.2,14.99,16090,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.180855,90.901706,47.1,0.23,11.54,Fine alluvial silt,Paddy Cropland,231.9,436.7,536.3,1.76,536,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.894145,91.629701,143.0,8.74,5.79,Coarse boulder-sand,Foothill Plantation,82.0,201.5,284.5,9.66,12132,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.061032,93.945066,86.0,0.8,14.48,Clayey loam,Paddy Cropland,202.3,354.0,436.3,1.27,497,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.463738,95.561669,238.2,14.47,6.71,Sandy clay red loam,Highland Industrial / Township,126.5,169.8,215.4,7.53,12614,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.726546,94.283022,130.4,4.0,6.94,Deep red acidic loam,Agroforestry,109.7,190.6,182.5,14.62,13011,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.141006,93.138964,679.9,13.79,4.94,Red and yellow forest soil,Sub-Tropical Montane Forest,109.2,186.6,198.6,14.96,17431,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.840008,93.631086,306.5,22.89,5.3,Lateritic gravelly clay,Mixed Deciduous Forest,85.1,134.0,154.7,13.67,22278,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.835661,91.556598,105.6,4.26,7.7,Coarse boulder-sand,Foothill Plantation,97.0,173.1,232.7,11.84,9735,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.670109,94.319814,124.9,4.57,8.28,Deep red acidic loam,Commercial Tea Plantation,91.1,182.8,172.5,18.73,16131,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.370111,92.137596,57.7,0.59,13.99,Riverine silt,Wetland / Marshland,197.3,302.8,540.4,1.01,259,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.028143,93.87999,97.3,0.65,14.02,Alluvial fine sand,Alluvial Lowland,199.4,363.7,535.3,1.62,333,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.759393,92.774551,33.8,0.42,12.44,Heavy alluvial clay,Paddy Cropland,191.1,399.1,613.8,0.41,276,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.727981,91.509772,155.3,6.78,6.05,Bhabar gravelly loam,Deciduous Forest,125.1,233.4,301.2,15.4,12663,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.564414,95.167631,89.6,0.44,12.3,Alluvial sandy silt,Riparian Grassland,173.2,333.0,489.2,0.32,549,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.326172,92.099238,51.3,0.23,15.74,Riverine silt,Paddy Cropland,165.9,399.6,572.8,0.81,132,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.049197,94.154623,80.8,0.57,15.82,Active alluvial deposits,Riparian Grassland,165.1,325.2,496.4,0.65,174,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.453729,91.026684,47.0,0.67,13.19,Sand bar alluvium,Paddy Cropland,225.4,438.6,540.4,1.24,62,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.829712,94.337532,108.6,2.82,5.99,Deep red acidic loam,Agroforestry,90.1,162.2,198.9,12.47,11371,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.212114,93.122849,718.0,19.63,5.62,Gravelly skeletal clay,Sub-Tropical Montane Forest,70.5,139.1,184.5,17.19,20212,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.111042,94.048536,93.9,0.55,13.01,Riverine silt loam,Alluvial Lowland,175.9,362.2,452.7,0.55,95,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.245021,90.081914,43.8,0.4,15.14,Hydromorphic alluvial silt,Char Settlement,144.9,335.1,458.7,1.68,61,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.286978,93.289617,413.8,11.49,6.91,Skeletal rocky soil,Mixed Deciduous Forest,56.4,162.1,228.3,26.28,22978,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.175393,92.976507,67.4,0.78,11.66,Silty alluvium,Rural Settlement,182.0,415.2,466.2,0.84,98,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.823229,92.921397,34.6,0.51,12.4,Hydromorphic depression silt,Paddy Cropland,215.2,435.4,541.6,1.1,188,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.136187,92.777145,69.4,0.38,13.3,Silty alluvium,Rural Settlement,179.8,410.5,441.2,0.45,179,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.170968,91.74083,190.3,21.17,7.0,Red gravelly loam,Highland Residential Built-up,64.2,203.3,319.4,12.51,5715,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.185491,91.751866,223.7,8.76,7.69,Red gravelly loam,Reserved Forest Upland,108.0,142.3,206.7,6.87,5353,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.676288,92.723885,118.8,4.37,6.78,Sandy loam,Tea Plantation,95.7,173.3,219.7,9.2,7139,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.223545,93.98724,91.1,0.75,14.37,Riverine silt loam,Rural Homestead,196.6,387.4,506.4,0.81,657,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.139314,91.7392,275.6,14.82,8.12,Red gravelly loam,Highland Residential Built-up,84.0,135.6,241.0,13.96,14723,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.399644,93.083929,688.2,25.95,5.63,Gravelly skeletal clay,Settlement on Ridge,111.7,124.7,202.2,23.62,21902,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.457582,90.82992,52.0,0.31,15.11,Fine alluvial silt,Permanent Wetland,177.8,459.7,621.3,0.31,472,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.264514,93.468346,394.3,15.75,5.72,Lateritic gravelly clay,Dense Tropical Forest,89.1,127.5,196.8,16.89,23718,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.347688,93.374069,307.1,18.45,7.67,Red loamy soil,Hilly Homestead,79.4,163.9,142.5,27.27,16722,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.012395,94.251943,78.7,0.25,16.8,Active alluvial deposits,Wetland,182.6,268.9,506.4,1.0,218,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.347354,90.879772,45.2,0.38,13.32,Fine alluvial silt,Char Land,204.3,442.8,508.8,0.63,176,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.731445,94.42132,111.0,4.11,7.41,Old alluvial terrace soil,Elevated Homestead,50.9,199.7,282.1,12.74,9113,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.425369,92.891062,68.3,0.58,13.58,Alluvial clay loam,Rural Settlement,155.4,387.2,545.6,0.6,570,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.760554,92.918057,24.5,0.49,13.57,Hydromorphic depression silt,Depression Wetland (Beel),244.8,541.3,619.7,0.3,42,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.791132,92.845872,100.0,5.19,6.45,Piedmont coarse alluvium,Tea Plantation,74.2,239.1,269.9,5.96,4750,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.375476,95.767002,207.4,5.3,7.8,Sandy clay red loam,Evergreen Forest Scarp,123.3,234.5,267.7,11.54,10504,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.182025,93.635953,275.8,14.87,6.85,Lateritic gravelly clay,Mixed Deciduous Forest,84.0,107.9,189.7,10.0,22404,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.63873,92.492018,113.0,4.38,7.7,Piedmont coarse alluvium,Urban Cantonment,70.8,178.1,326.1,4.43,7666,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.152722,91.8957,223.8,13.67,6.64,Ferruginous weathered rock,Highland Residential Built-up,96.4,181.1,279.4,12.12,4014,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.896243,94.2236,82.1,0.59,14.66,Active alluvial deposits,Wetland,169.5,377.7,413.0,0.12,361,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.195271,91.920083,202.1,16.14,6.75,Red gravelly loam,Highland Residential Built-up,70.5,166.7,207.3,8.56,4085,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.812581,92.706927,121.1,3.46,7.69,Piedmont coarse alluvium,High Alluvial Orchard,84.7,161.6,229.1,10.22,7553,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.798538,95.019911,93.5,0.31,14.96,Alluvial sandy silt,Riparian Grassland,172.5,362.2,450.9,1.15,477,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.349048,94.223383,88.9,0.28,13.84,Riverine silt loam,Alluvial Lowland,185.5,387.4,396.9,2.05,291,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.259255,90.448184,40.3,0.22,14.83,Fine riverine sand,Paddy Cropland,148.6,397.6,508.3,1.41,493,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.0701,89.983132,42.6,0.21,15.66,Hydromorphic alluvial silt,Riparian Wetland,137.5,329.8,413.4,0.62,539,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.303316,93.315968,331.4,20.54,7.38,Lateritic gravelly clay,Hilly Homestead,55.0,149.6,178.6,10.63,24138,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.843593,92.713218,24.3,0.41,12.54,Heavy alluvial clay,Paddy Cropland,224.0,517.0,717.6,0.48,67,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.364429,95.663231,232.2,7.0,5.09,Sandy clay red loam,Tea Estate,113.6,237.7,313.1,15.52,19864,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.710447,92.759568,113.2,4.27,7.97,Sandy loam,Urban Cantonment,117.4,222.6,323.8,14.4,12169,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.745445,94.298565,124.7,2.19,5.98,Old alluvial terrace soil,Commercial Tea Plantation,99.1,175.7,190.5,15.77,12106,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.817315,92.560991,119.1,5.78,7.63,Sandy loam,Urban Cantonment,118.4,148.6,328.1,11.94,7028,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.348262,95.78195,193.1,8.52,7.98,Laterite,Evergreen Forest Scarp,94.4,203.6,213.2,18.57,11706,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.543533,93.497831,74.0,0.57,14.03,Marshy organic loam,National Park Grassland,185.9,295.2,403.7,1.35,219,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.437871,91.346623,48.0,0.58,12.07,Clayey loam,Paddy Cropland,174.7,347.1,459.2,0.72,499,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.230676,93.558353,217.7,16.44,5.81,Skeletal rocky soil,Mixed Deciduous Forest,60.5,178.7,233.8,17.83,12898,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.410804,91.45495,50.5,0.33,13.84,Alluvial silt loam,Rural Settlement,160.9,429.2,580.7,0.46,183,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.328905,91.006724,41.6,0.22,15.48,Sand bar alluvium,Paddy Cropland,195.1,466.4,519.3,1.33,44,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.831658,91.394934,105.3,6.08,7.41,Coarse boulder-sand,Foothill Plantation,118.9,234.4,280.3,8.96,9415,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.780873,92.82623,29.4,0.66,15.13,Heavy alluvial clay,Paddy Cropland,195.1,520.7,568.0,1.08,412,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.368777,93.342625,382.0,14.09,4.26,Lateritic gravelly clay,Dense Tropical Forest,49.4,132.9,223.0,25.11,24281,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.145472,90.59946,146.2,17.71,4.34,Gravelly red loam,High Settlement,89.4,209.1,271.8,15.56,5541,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.337064,92.061127,52.7,0.64,13.02,Organic silty clay,Paddy Cropland,191.8,364.9,448.8,0.39,398,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.159398,93.020955,65.3,0.76,11.57,Silty alluvium,Rural Settlement,187.3,397.0,482.7,1.3,823,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.79495,92.909781,32.7,0.42,14.12,Hydromorphic depression silt,Dense Settlement,237.5,555.6,604.4,0.64,369,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.140327,91.763066,196.1,12.01,4.91,Red gravelly loam,Highland Residential Built-up,79.9,204.1,237.0,13.46,9581,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.774793,91.379771,105.4,7.34,7.71,Coarse boulder-sand,Deciduous Forest,114.7,250.0,288.2,9.0,11280,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.259761,93.387726,331.5,7.99,5.54,Lateritic gravelly clay,Hilly Homestead,48.3,157.8,190.6,11.02,20837,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.845709,91.538444,137.9,4.79,5.01,Coarse boulder-sand,Deciduous Forest,127.2,233.0,320.8,16.44,15393,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.416926,92.396423,61.8,0.27,15.14,Clayey alluvium,Wetland / Marshland,171.6,438.1,480.1,0.4,298,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.100164,94.250661,91.9,0.87,15.21,Riverine silt loam,Alluvial Lowland,149.5,346.6,468.6,1.17,303,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.176452,93.688052,187.8,18.42,6.65,Lateritic gravelly clay,Hilly Homestead,86.0,103.8,149.7,24.28,17850,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.279632,94.175919,87.1,0.58,11.52,Riverine silt loam,Alluvial Lowland,194.9,378.9,537.4,0.49,545,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.189583,91.730876,201.9,20.13,6.68,Ferruginous weathered rock,Reserved Forest Upland,102.0,216.5,261.7,11.49,13810,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.454911,94.664696,99.0,0.44,12.42,Silty clay loam,Wetland / Beel,142.6,327.5,458.1,1.92,92,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.824255,92.662106,29.2,0.31,14.41,Heavy alluvial clay,Depression Wetland (Beel),243.5,411.7,542.6,1.34,362,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.583108,93.471663,70.6,0.61,11.25,Marshy organic loam,Wetland,188.7,335.6,457.9,0.32,304,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.846026,93.586429,469.2,14.75,7.3,Skeletal rocky soil,Mixed Deciduous Forest,56.2,164.7,187.0,13.34,6155,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.381249,92.436722,51.6,0.66,11.54,Organic silty clay,Paddy Cropland,150.1,391.7,432.0,1.78,338,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.089863,90.749191,176.8,11.85,6.12,Laterite outcrop,High Settlement,57.5,130.8,289.0,12.71,4633,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.08361,94.290043,83.6,0.36,14.69,Active alluvial deposits,Wetland,192.0,315.2,449.3,0.86,313,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.311348,92.187198,51.8,0.55,14.03,Organic silty clay,Paddy Cropland,198.0,337.8,526.9,0.53,506,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.546363,93.339209,65.6,0.39,11.9,Alluvial silt loam,Wetland,207.7,350.4,419.8,0.89,371,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.824832,94.632714,99.8,1.05,11.64,Silty clay loam,Low-lying Rural Settlement,188.0,305.7,577.3,1.77,258,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.772006,91.636391,102.9,7.66,6.74,Bhabar gravelly loam,Tea Estate,123.8,156.6,333.6,15.85,12701,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.600893,94.408048,132.4,2.47,5.83,Old alluvial terrace soil,Elevated Homestead,79.2,172.6,195.2,11.75,16566,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.307249,95.78,212.0,12.62,6.35,Laterite,Highland Industrial / Township,109.7,143.2,244.8,10.23,17764,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.294716,91.301145,47.1,0.79,13.08,Clayey loam,Paddy Cropland,152.1,333.9,486.7,0.56,600,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.303256,95.648125,177.4,10.42,7.67,Laterite,Evergreen Forest Scarp,90.0,223.3,334.0,7.63,19175,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.266452,92.288383,55.1,0.26,15.09,Clayey alluvium,Wetland / Marshland,198.1,323.9,487.2,1.04,391,1,1
